sample	r_nnls	r_simplex	l1	l2
ACB110	0.0000228480275001791	0.0000182614225133329	0.0000995200696849441	0.0000703713161383817
ACB111	0.0000097894483985182	0.0000114113374693386	0.0000249093008176382	0.0000176135355227676
ACB112	0.0000109770102542524	0.00000944012811016272	0.0000889196242554405	0.0000545194589665717
ACB113	0.00000683777011898295	0.00000526909343663793	0.0000298267594994323	0.0000210907039028688
ACB114	0.00000415037153785523	0.00000193586520937492	0.000143264823913561	0.0000915285331179452
ACB116	0.0000104385345137573	0.0000113810364881197	0.000000602631525055061	0.000000426124837923225
ACB117	0.0000060855400730292	0.00000893427764948489	0.0000292602214024846	0.0000183805954375301
ACB118	0.0000156355833532723	0.0000208954646246737	0.000135814470532241	0.0000745301678429964
ACB119	0.00000629474149365765	0.00000527647064541626	0.00000731122516987176	0.00000516981689639809
ACB120	0.0000084504479716555	0.0000109311715409024	0.0000170537528339648	0.0000120588242735758
ACB122	0.0000385672396954791	0.0000342002893492095	0.000225299181629585	0.000159310579126059
ACB123	0.00000684686249094089	0.000008628794426508	0.000121749500173482	0.0000750645938858477
Adygei2	0.00149190368944487	0.00209846223958716	0.00161088036712692	0.00106700616794743
